t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00063,0.00000,0.00006,0.00750,0.00000,-0.000,-0.010,0
0.1020,0.00235,-0.00000,0.00016,0.01500,0.00000,-0.000,-0.018,0
0.1520,0.00505,-0.00000,0.00023,0.02250,0.00000,-0.000,-0.013,0
0.2020,0.00864,-0.00000,0.00029,0.03000,0.00000,-0.000,-0.009,0
0.2520,0.01303,-0.00000,0.00033,0.03750,0.00000,-0.000,-0.006,0
0.3020,0.01814,-0.00000,0.00036,0.04500,0.00000,-0.000,-0.004,0
0.3520,0.02388,-0.00000,0.00037,0.05250,0.00000,-0.000,-0.002,0
0.4020,0.03018,-0.00000,0.00037,0.06000,0.00000,-0.000,-0.000,0
0.4520,0.03697,-0.00000,0.00036,0.06750,0.00000,-0.000,0.001,0
0.5040,0.04448,-0.00000,0.00033,0.07530,0.00000,-0.000,0.001,0
0.5540,0.05207,-0.00000,0.00030,0.08280,0.00000,-0.000,0.002,0
0.6040,0.05997,-0.00000,0.00026,0.09030,0.00000,-0.000,0.002,0
0.6540,0.06813,-0.00000,0.00021,0.09780,0.00000,-0.000,0.001,0
0.7040,0.07650,-0.00000,0.00016,0.10530,0.00000,-0.000,0.001,0
0.7540,0.08505,-0.00000,0.00010,0.11280,0.00000,0.000,0.000,0
0.8040,0.09374,-0.00000,0.00003,0.12030,0.00000,0.000,-0.000,0
0.8540,0.10253,-0.00000,-0.00003,0.12780,0.00000,0.000,-0.001,0
0.9040,0.11139,-0.00000,-0.00010,0.13530,0.00000,0.000,-0.002,0
0.9540,0.12031,-0.00000,-0.00018,0.14280,0.00000,0.000,-0.002,0
1.0060,0.12961,-0.00000,-0.00025,0.15060,0.00000,0.000,-0.003,0
1.0560,0.13856,-0.00000,-0.00033,0.15810,0.00000,0.000,-0.004,0
1.1060,0.14751,-0.00000,-0.00040,0.16560,0.00000,0.000,-0.005,0
1.1560,0.15644,-0.00000,-0.00048,0.17310,0.00000,0.000,-0.006,0
1.2060,0.16533,-0.00000,-0.00056,0.18060,0.00000,0.000,-0.006,0
1.2560,0.17418,-0.00000,-0.00063,0.18810,0.00000,0.000,-0.007,0
1.3060,0.18298,-0.00000,-0.00071,0.19560,0.00000,0.000,-0.008,0
1.3560,0.19172,-0.00000,-0.00078,0.20310,0.00000,0.000,-0.008,0
1.4060,0.20041,-0.00000,-0.00085,0.21060,0.00000,0.000,-0.009,0
1.4560,0.20903,-0.00000,-0.00092,0.21810,0.00000,0.000,-0.009,0
1.5060,0.21758,-0.00000,-0.00099,0.22560,0.00000,0.000,-0.010,0
1.5560,0.22606,-0.00000,-0.00106,0.23310,0.00000,0.000,-0.010,0
1.6060,0.23448,-0.00000,-0.00112,0.24060,0.00000,0.000,-0.010,0
1.6560,0.24283,-0.00000,-0.00118,0.24810,0.00000,0.000,-0.011,0
1.7060,0.25111,-0.00000,-0.00124,0.25560,0.00000,0.000,-0.011,0
1.7560,0.25933,-0.00000,-0.00130,0.26310,0.00000,0.000,-0.011,0
1.8060,0.26749,-0.00000,-0.00136,0.27060,0.00000,0.000,-0.012,0
1.8560,0.27558,-0.00000,-0.00141,0.27810,0.00000,0.000,-0.012,0
1.9060,0.28362,-0.00000,-0.00146,0.28560,0.00000,0.000,-0.012,0
1.9560,0.29160,-0.00000,-0.00151,0.29310,0.00000,0.000,-0.012,0
2.0080,0.29985,-0.00000,-0.00155,0.30090,0.00000,0.000,-0.012,0
2.0600,0.30805,-0.00000,-0.00160,0.30870,0.00000,0.000,-0.012,0
2.1120,0.31619,-0.00000,-0.00164,0.31650,0.00000,0.000,-0.012,0
2.1640,0.32429,-0.00000,-0.00168,0.32430,0.00000,0.000,-0.012,0
2.2160,0.33235,-0.00000,-0.00172,0.33210,0.00000,0.000,-0.013,0
2.2680,0.34037,-0.00000,-0.00175,0.33990,0.00000,0.000,-0.013,0
2.3200,0.34835,-0.00000,-0.00179,0.34770,0.00000,0.000,-0.013,0
2.3720,0.35631,-0.00000,-0.00182,0.35550,0.00000,0.000,-0.013,0
2.4240,0.36423,-0.00000,-0.00184,0.36330,0.00000,0.000,-0.013,0
2.4760,0.37213,-0.00000,-0.00187,0.37110,0.00000,0.000,-0.013,0
2.5280,0.38000,-0.00000,-0.00190,0.37890,0.00000,0.000,-0.013,0
2.5800,0.38786,-0.00000,-0.00192,0.38670,0.00000,0.000,-0.013,0
2.6320,0.39570,-0.00000,-0.00194,0.39450,0.00000,-0.000,-0.013,0
2.6840,0.40352,0.00000,-0.00196,0.40230,0.00000,-0.000,-0.013,0
2.7360,0.41133,0.00000,-0.00197,0.41010,0.00000,-0.000,-0.013,0
2.7880,0.41912,0.00000,-0.00199,0.41790,0.00000,-0.000,-0.013,0
2.8400,0.42691,0.00000,-0.00200,0.42570,0.00000,-0.000,-0.012,0
2.8920,0.43469,0.00000,-0.00201,0.43350,0.00000,-0.000,-0.012,0
2.9440,0.44246,0.00000,-0.00203,0.44130,0.00000,-0.000,-0.012,0
2.9960,0.45023,0.00000,-0.00204,0.44910,0.00000,-0.000,-0.012,0
3.0480,0.45799,0.00000,-0.00204,0.45690,0.00000,-0.000,-0.012,0
3.1000,0.46575,0.00000,-0.00205,0.46470,0.00000,-0.000,-0.012,0
3.1520,0.47351,0.00000,-0.00206,0.47250,0.00000,-0.000,-0.012,0
3.2040,0.48126,0.00000,-0.00206,0.48030,0.00000,-0.000,-0.012,0
3.2560,0.48902,0.00000,-0.00207,0.48810,0.00000,-0.000,-0.012,0
3.3080,0.49677,0.00000,-0.00207,0.49590,0.00000,-0.000,-0.012,0
3.3600,0.50453,0.00000,-0.00208,0.50370,0.00000,-0.000,-0.012,0
3.4120,0.51229,0.00000,-0.00208,0.51150,0.00000,-0.000,-0.012,0
3.4640,0.52004,0.00000,-0.00208,0.51930,0.00000,-0.000,-0.012,0
3.5160,0.52780,0.00000,-0.00208,0.52710,0.00000,-0.000,-0.012,0
3.5680,0.53556,0.00000,-0.00208,0.53490,0.00000,-0.000,-0.012,0
3.6200,0.54333,0.00000,-0.00208,0.54270,0.00000,-0.000,-0.012,0
3.6720,0.55109,0.00000,-0.00208,0.55050,0.00000,-0.000,-0.012,0
3.7240,0.55886,0.00000,-0.00208,0.55830,0.00000,-0.000,-0.012,0
3.7760,0.56663,0.00000,-0.00208,0.56610,0.00000,-0.000,-0.012,0
3.8280,0.57440,0.00000,-0.00208,0.57390,0.00000,-0.000,-0.012,0
3.8800,0.58217,0.00000,-0.00208,0.58170,0.00000,-0.000,-0.012,0
3.9320,0.58995,0.00000,-0.00208,0.58950,0.00000,-0.000,-0.012,0
3.9840,0.59773,0.00000,-0.00207,0.59730,0.00000,-0.000,-0.012,0
4.0360,0.60551,0.00000,-0.00207,0.60510,0.00000,-0.000,-0.012,0
4.0880,0.61329,0.00000,-0.00207,0.61290,0.00000,-0.000,-0.012,0
4.1400,0.62107,0.00000,-0.00207,0.62070,0.00000,-0.000,-0.012,0
4.1920,0.62886,0.00000,-0.00207,0.62850,0.00000,-0.000,-0.012,0
4.2440,0.63664,0.00000,-0.00206,0.63630,0.00000,-0.000,-0.012,0
4.2960,0.64443,0.00000,-0.00206,0.64410,0.00000,-0.000,-0.012,0
4.3480,0.65222,0.00000,-0.00206,0.65190,0.00000,-0.000,-0.012,0
4.4000,0.66001,0.00000,-0.00206,0.65970,0.00000,-0.000,-0.012,0
4.4520,0.66781,0.00000,-0.00205,0.66750,0.00000,-0.000,-0.012,0
4.5040,0.67560,0.00000,-0.00205,0.67530,0.00000,-0.000,-0.012,0
4.5560,0.68339,0.00000,-0.00205,0.68310,0.00000,-0.000,-0.012,0
4.6080,0.69119,0.00000,-0.00205,0.69090,0.00000,-0.000,-0.012,0
4.6600,0.69899,0.00000,-0.00204,0.69870,0.00000,-0.000,-0.012,0
4.7120,0.70678,0.00000,-0.00204,0.70650,0.00000,-0.000,-0.012,0
4.7640,0.71458,0.00000,-0.00204,0.71430,0.00000,-0.000,-0.012,0
4.8160,0.72238,0.00000,-0.00204,0.72210,0.00000,-0.000,-0.012,0
4.8680,0.73018,0.00000,-0.00204,0.72990,0.00000,-0.000,-0.012,0
4.9200,0.73798,0.00000,-0.00203,0.73770,0.00000,-0.000,-0.012,0
4.9720,0.74578,0.00000,-0.00203,0.74550,0.00000,-0.000,-0.012,0
5.0240,0.75358,0.00000,-0.00203,0.75330,0.00000,-0.000,-0.012,0
5.0760,0.76138,0.00000,-0.00203,0.76110,0.00000,-0.000,-0.012,0
5.1280,0.76918,0.00000,-0.00203,0.76890,0.00000,-0.000,-0.012,0
5.1800,0.77698,0.00000,-0.00203,0.77670,0.00000,-0.000,-0.012,0
5.2320,0.78478,0.00000,-0.00202,0.78450,0.00000,-0.000,-0.012,0
5.2840,0.79258,-0.00000,-0.00202,0.79230,0.00000,-0.000,-0.012,0
5.3360,0.80038,-0.00000,-0.00202,0.80010,0.00000,-0.000,-0.012,0
5.3880,0.80819,-0.00000,-0.00202,0.80790,0.00000,-0.000,-0.012,0
5.4400,0.81599,-0.00000,-0.00202,0.81570,0.00000,-0.000,-0.012,0
5.4920,0.82379,-0.00000,-0.00202,0.82350,0.00000,-0.000,-0.012,0
5.5440,0.83159,-0.00000,-0.00202,0.83130,0.00000,-0.000,-0.012,0
5.5960,0.83939,-0.00000,-0.00202,0.83910,0.00000,-0.000,-0.012,0
5.6480,0.84719,-0.00000,-0.00201,0.84690,0.00000,-0.000,-0.012,0
5.7000,0.85499,-0.00000,-0.00201,0.85470,0.00000,-0.000,-0.012,0
5.7520,0.86279,-0.00000,-0.00201,0.86250,0.00000,-0.000,-0.012,0
5.8040,0.87060,-0.00000,-0.00201,0.87030,0.00000,-0.000,-0.012,0
5.8560,0.87840,-0.00000,-0.00201,0.87810,0.00000,-0.000,-0.012,0
5.9080,0.88620,-0.00000,-0.00201,0.88590,0.00000,-0.000,-0.012,0
5.9600,0.89400,-0.00000,-0.00201,0.89370,0.00000,-0.000,-0.012,0
6.0120,0.90180,-0.00000,-0.00201,0.90150,0.00000,-0.000,-0.012,0
6.0640,0.90960,-0.00000,-0.00201,0.90930,0.00000,-0.000,-0.012,0
6.1160,0.91740,-0.00000,-0.00201,0.91710,0.00000,-0.000,-0.012,0
6.1680,0.92520,-0.00000,-0.00201,0.92490,0.00000,-0.000,-0.012,0
6.2200,0.93300,-0.00000,-0.00201,0.93270,0.00000,-0.000,-0.012,0
6.2720,0.94080,-0.00000,-0.00201,0.94050,0.00000,-0.000,-0.012,0
6.3240,0.94860,-0.00000,-0.00201,0.94830,0.00000,-0.000,-0.012,0
6.3760,0.95640,-0.00000,-0.00201,0.95610,0.00000,-0.000,-0.012,0
6.4280,0.96420,-0.00000,-0.00201,0.96390,0.00000,-0.000,-0.012,0
6.4800,0.97200,-0.00000,-0.00201,0.97170,0.00000,-0.000,-0.012,0
6.5320,0.97981,-0.00000,-0.00201,0.97950,0.00000,-0.000,-0.012,0
6.5840,0.98761,-0.00000,-0.00201,0.98730,0.00000,-0.000,-0.012,0
6.6360,0.99541,-0.00000,-0.00201,0.99510,0.00000,-0.000,-0.012,0
6.6880,1.00321,-0.00000,-0.00201,1.00000,0.00290,-0.000,-0.012,0
6.7400,1.01060,0.00028,-0.00201,1.00000,0.01070,0.589,-0.005,0
6.7920,1.01677,0.00143,-0.00201,1.00000,0.01850,3.093,0.009,0
6.8440,1.02181,0.00349,-0.00200,1.00000,0.02630,6.727,0.002,0
6.8960,1.02587,0.00640,-0.00200,1.00000,0.03410,10.432,-0.006,0
6.9480,1.02906,0.01009,-0.00200,1.00000,0.04190,14.135,-0.011,0
7.0000,1.03151,0.01448,-0.00200,1.00000,0.04970,17.760,-0.014,0
7.0520,1.03334,0.01951,-0.00200,1.00000,0.05750,21.305,-0.017,0
7.1040,1.03466,0.02512,-0.00200,1.00000,0.06530,24.777,-0.018,0
7.1560,1.03555,0.03125,-0.00199,1.00000,0.07310,28.186,-0.019,0
7.2080,1.03611,0.03787,-0.00199,1.00000,0.08090,31.544,-0.019,0
7.2600,1.03639,0.04494,-0.00199,1.00000,0.08870,34.858,-0.019,0
7.3120,1.03645,0.05242,-0.00199,1.00000,0.09650,38.138,-0.019,0
7.3640,1.03632,0.06030,-0.00199,1.00000,0.10430,41.387,-0.018,0
7.4160,1.03605,0.06853,-0.00199,1.00000,0.11210,44.612,-0.017,0
7.4680,1.03564,0.07709,-0.00199,1.00000,0.11990,47.816,-0.017,0
7.5200,1.03512,0.08595,-0.00199,1.00000,0.12770,51.002,-0.016,0
7.5720,1.03450,0.09507,-0.00199,1.00000,0.13550,54.173,-0.016,0
7.6240,1.03377,0.10444,-0.00199,1.00000,0.14330,57.332,-0.015,0
7.6760,1.03294,0.11400,-0.00199,1.00000,0.15110,60.480,-0.015,0
7.7280,1.03202,0.12374,-0.00199,1.00000,0.15890,63.619,-0.014,0
7.7800,1.03099,0.13362,-0.00199,1.00000,0.16670,66.749,-0.014,0
7.8320,1.02986,0.14360,-0.00199,1.00000,0.17450,69.872,-0.014,0
7.8840,1.02862,0.15365,-0.00199,1.00000,0.18230,72.987,-0.014,0
7.9360,1.02728,0.16375,-0.00199,1.00000,0.19010,76.097,-0.014,0
7.9880,1.02583,0.17385,-0.00200,1.00000,0.19790,79.199,-0.014,0
8.0380,1.02434,0.18354,-0.00200,1.00000,0.20540,82.175,-0.014,0
8.0880,1.02275,0.19318,-0.00200,1.00000,0.21290,85.131,-0.014,0
8.1380,1.02107,0.20276,-0.00200,1.00000,0.22040,87.932,-0.014,0
8.1880,1.01932,0.21224,-0.00200,1.00000,0.22790,89.857,-0.014,0
8.2380,1.01754,0.22158,-0.00200,1.00000,0.23540,90.218,-0.013,0
8.2880,1.01576,0.23077,-0.00200,1.00000,0.24290,90.202,-0.013,0
8.3380,1.01406,0.23983,-0.00200,1.00000,0.25040,90.185,-0.013,0
8.3880,1.01247,0.24877,-0.00200,1.00000,0.25790,90.162,-0.013,0
8.4380,1.01097,0.25760,-0.00200,1.00000,0.26540,90.135,-0.014,0
8.4880,1.00958,0.26632,-0.00200,1.00000,0.27290,90.112,-0.014,0
8.5380,1.00828,0.27493,-0.00200,1.00000,0.28040,90.092,-0.014,0
8.5880,1.00708,0.28344,-0.00200,1.00000,0.28790,90.076,-0.015,0
8.6380,1.00597,0.29185,-0.00200,1.00000,0.29540,90.062,-0.015,0
8.6880,1.00496,0.30017,-0.00200,1.00000,0.30290,90.050,-0.015,0
8.7380,1.00403,0.30840,-0.00200,1.00000,0.31040,90.041,-0.015,0
8.7880,1.00318,0.31655,-0.00200,1.00000,0.31790,90.032,-0.015,0
8.8380,1.00242,0.32462,-0.00200,1.00000,0.32540,90.026,-0.015,0
8.8880,1.00173,0.33262,-0.00200,1.00000,0.33290,90.020,-0.015,0
8.9380,1.00111,0.34055,-0.00200,1.00000,0.34040,90.015,-0.015,0
8.9880,1.00056,0.34842,-0.00200,1.00000,0.34790,90.011,-0.015,0
9.0380,1.00007,0.35623,-0.00200,1.00000,0.35540,90.008,-0.014,0
9.0880,0.99964,0.36399,-0.00200,1.00000,0.36290,90.005,-0.014,0
9.1380,0.99926,0.37171,-0.00200,1.00000,0.37040,90.003,-0.014,0
9.1880,0.99894,0.37938,-0.00200,1.00000,0.37790,90.001,-0.014,0
9.2380,0.99866,0.38702,-0.00200,1.00000,0.38540,89.999,-0.014,0
9.2880,0.99843,0.39462,-0.00201,1.00000,0.39290,89.998,-0.014,0
9.3380,0.99823,0.40220,-0.00201,1.00000,0.40040,89.997,-0.014,0
9.3880,0.99808,0.40974,-0.00201,1.00000,0.40790,89.996,-0.013,0
9.4380,0.99795,0.41727,-0.00201,1.00000,0.41540,89.996,-0.013,0
9.4880,0.99786,0.42477,-0.00201,1.00000,0.42290,89.995,-0.013,0
9.5380,0.99780,0.43226,-0.00201,1.00000,0.43040,89.995,-0.013,0
9.5880,0.99776,0.43973,-0.00201,1.00000,0.43790,89.995,-0.013,0
9.6380,0.99774,0.44720,-0.00201,1.00000,0.44540,89.994,-0.013,0
9.6880,0.99774,0.45465,-0.00201,1.00000,0.45290,89.994,-0.013,0
9.7380,0.99775,0.46209,-0.00201,1.00000,0.46040,89.994,-0.013,0
9.7880,0.99778,0.46953,-0.00201,1.00000,0.46790,89.994,-0.013,0
9.8380,0.99783,0.47696,-0.00201,1.00000,0.47540,89.995,-0.012,0
9.8880,0.99788,0.48439,-0.00201,1.00000,0.48290,89.995,-0.012,0
9.9380,0.99795,0.49182,-0.00201,1.00000,0.49040,89.995,-0.012,0
9.9880,0.99802,0.49925,-0.00201,1.00000,0.49790,89.995,-0.012,0
10.0380,0.99810,0.50667,-0.00201,1.00000,0.50540,89.995,-0.012,0
10.0880,0.99818,0.51410,-0.00201,1.00000,0.51290,89.995,-0.012,0
10.1380,0.99826,0.52153,-0.00201,1.00000,0.52040,89.996,-0.012,0
10.1880,0.99835,0.52896,-0.00201,1.00000,0.52790,89.996,-0.012,0
10.2380,0.99844,0.53639,-0.00201,1.00000,0.53540,89.996,-0.012,0
10.2880,0.99853,0.54383,-0.00201,1.00000,0.54290,89.996,-0.012,0
10.3380,0.99862,0.55127,-0.00201,1.00000,0.55040,89.997,-0.012,0
10.3880,0.99871,0.55871,-0.00201,1.00000,0.55790,89.997,-0.012,0
10.4380,0.99880,0.56615,-0.00201,1.00000,0.56540,89.997,-0.012,0
10.4880,0.99889,0.57360,-0.00201,1.00000,0.57290,89.997,-0.012,0
10.5380,0.99897,0.58105,-0.00201,1.00000,0.58040,89.998,-0.012,0
10.5880,0.99905,0.58851,-0.00201,1.00000,0.58790,89.998,-0.012,0
10.6380,0.99913,0.59597,-0.00201,1.00000,0.59540,89.998,-0.012,0
10.6880,0.99921,0.60343,-0.00201,1.00000,0.60290,89.998,-0.012,0
10.7380,0.99928,0.61089,-0.00201,1.00000,0.61040,89.998,-0.012,0
10.7880,0.99935,0.61836,-0.00201,1.00000,0.61790,89.999,-0.012,0
10.8380,0.99942,0.62583,-0.00201,1.00000,0.62540,89.999,-0.012,0
10.8880,0.99948,0.63331,-0.00201,1.00000,0.63290,89.999,-0.012,0
10.9380,0.99954,0.64079,-0.00201,1.00000,0.64040,89.999,-0.012,0
10.9880,0.99959,0.64826,-0.00201,1.00000,0.64790,89.999,-0.012,0
11.0380,0.99964,0.65575,-0.00201,1.00000,0.65540,89.999,-0.012,0
11.0880,0.99969,0.66323,-0.00201,1.00000,0.66290,89.999,-0.012,0
11.1380,0.99973,0.67072,-0.00201,1.00000,0.67040,89.999,-0.012,0
11.1880,0.99977,0.67820,-0.00201,1.00000,0.67790,90.000,-0.012,0
11.2380,0.99981,0.68569,-0.00201,1.00000,0.68540,90.000,-0.012,0
11.2880,0.99984,0.69319,-0.00201,1.00000,0.69290,90.000,-0.012,0
11.3380,0.99988,0.70068,-0.00201,1.00000,0.70040,90.000,-0.012,0
11.3880,0.99990,0.70817,-0.00201,1.00000,0.70790,90.000,-0.012,0
11.4380,0.99993,0.71567,-0.00201,1.00000,0.71540,90.000,-0.012,0
11.4880,0.99995,0.72316,-0.00201,1.00000,0.72290,90.000,-0.012,0
11.5380,0.99997,0.73066,-0.00201,1.00000,0.73040,90.000,-0.012,0
11.5880,0.99999,0.73816,-0.00201,1.00000,0.73790,90.000,-0.012,0
11.6380,1.00001,0.74566,-0.00201,1.00000,0.74540,90.000,-0.012,0
11.6880,1.00002,0.75316,-0.00201,1.00000,0.75290,90.000,-0.012,0
11.7380,1.00003,0.76066,-0.00201,1.00000,0.76040,90.000,-0.012,0
11.7880,1.00004,0.76816,-0.00201,1.00000,0.76790,90.000,-0.012,0
11.8380,1.00005,0.77566,-0.00201,1.00000,0.77540,90.000,-0.012,0
11.8880,1.00006,0.78316,-0.00201,1.00000,0.78290,90.000,-0.012,0
11.9380,1.00007,0.79066,-0.00201,1.00000,0.79040,90.000,-0.012,0
11.9880,1.00007,0.79817,-0.00201,1.00000,0.79790,90.000,-0.012,0
12.0380,1.00008,0.80567,-0.00201,1.00000,0.80540,90.000,-0.012,0
12.0880,1.00008,0.81317,-0.00201,1.00000,0.81290,90.000,-0.012,0
12.1380,1.00008,0.82067,-0.00201,1.00000,0.82040,90.000,-0.012,0
12.1880,1.00008,0.82817,-0.00201,1.00000,0.82790,90.000,-0.012,0
12.2380,1.00008,0.83568,-0.00201,1.00000,0.83540,90.000,-0.012,0
12.2880,1.00008,0.84318,-0.00201,1.00000,0.84290,90.000,-0.012,0
12.3380,1.00008,0.85068,-0.00201,1.00000,0.85040,90.000,-0.012,0
12.3880,1.00008,0.85818,-0.00201,1.00000,0.85790,90.000,-0.012,0
12.4380,1.00008,0.86568,-0.00201,1.00000,0.86540,90.000,-0.012,0
12.4880,1.00007,0.87319,-0.00201,1.00000,0.87290,90.000,-0.012,0
12.5380,1.00007,0.88069,-0.00201,1.00000,0.88040,90.000,-0.012,0
12.5880,1.00007,0.88819,-0.00201,1.00000,0.88790,90.000,-0.012,0
12.6380,1.00007,0.89569,-0.00201,1.00000,0.89540,90.000,-0.012,0
12.6880,1.00006,0.90319,-0.00201,1.00000,0.90290,90.000,-0.012,0
12.7380,1.00006,0.91069,-0.00201,1.00000,0.91040,90.000,-0.012,0
12.7880,1.00006,0.91820,-0.00201,1.00000,0.91790,90.000,-0.012,0
12.8380,1.00005,0.92570,-0.00201,1.00000,0.92540,90.000,-0.012,0
12.8880,1.00005,0.93320,-0.00201,1.00000,0.93290,90.000,-0.012,0
12.9380,1.00005,0.94070,-0.00201,1.00000,0.94040,90.000,-0.012,0
12.9880,1.00004,0.94820,-0.00201,1.00000,0.94790,90.000,-0.012,0
13.0380,1.00004,0.95570,-0.00201,1.00000,0.95540,90.000,-0.012,0
13.0880,1.00004,0.96320,-0.00201,1.00000,0.96290,90.000,-0.012,0
13.1380,1.00003,0.97070,-0.00201,1.00000,0.97040,90.000,-0.012,0
13.1880,1.00003,0.97820,-0.00201,1.00000,0.97790,90.000,-0.012,0
13.2380,1.00003,0.98570,-0.00201,1.00000,0.98540,90.000,-0.012,0
13.2880,1.00003,0.99320,-0.00201,1.00000,0.99290,90.000,-0.012,0
13.3380,1.00002,1.00071,-0.00201,0.99960,1.00000,90.000,-0.012,0
13.3880,0.99977,1.00785,-0.00201,0.99210,1.00000,90.531,-0.006,0
13.4380,0.99873,1.01388,-0.00201,0.98460,1.00000,92.796,0.009,0
13.4880,0.99686,1.01888,-0.00201,0.97710,1.00000,96.128,0.004,0
13.5380,0.99422,1.02296,-0.00200,0.96960,1.00000,99.560,-0.005,0
13.5880,0.99084,1.02624,-0.00200,0.96210,1.00000,103.016,-0.010,0
13.6380,0.98682,1.02882,-0.00200,0.95460,1.00000,106.423,-0.013,0
13.6880,0.98220,1.03081,-0.00200,0.94710,1.00000,109.770,-0.016,0
13.7380,0.97704,1.03230,-0.00200,0.93960,1.00000,113.062,-0.017,0
13.7880,0.97138,1.03337,-0.00200,0.93210,1.00000,116.305,-0.018,0
13.8380,0.96527,1.03411,-0.00200,0.92460,1.00000,119.507,-0.019,0
13.8880,0.95873,1.03457,-0.00200,0.91710,1.00000,122.675,-0.019,0
13.9380,0.95181,1.03480,-0.00200,0.90960,1.00000,125.815,-0.019,0
13.9880,0.94451,1.03485,-0.00200,0.90210,1.00000,128.931,-0.018,0
14.0380,0.93688,1.03474,-0.00199,0.89460,1.00000,132.027,-0.018,0
14.0880,0.92893,1.03450,-0.00199,0.88710,1.00000,135.107,-0.017,0
14.1380,0.92069,1.03415,-0.00199,0.87960,1.00000,138.172,-0.016,0
14.1880,0.91219,1.03369,-0.00199,0.87210,1.00000,141.227,-0.016,0
14.2380,0.90345,1.03314,-0.00199,0.86460,1.00000,144.272,-0.015,0
14.2880,0.89450,1.03250,-0.00199,0.85710,1.00000,147.310,-0.015,0
14.3380,0.88536,1.03177,-0.00200,0.84960,1.00000,150.341,-0.014,0
14.3880,0.87607,1.03095,-0.00200,0.84210,1.00000,153.368,-0.014,0
14.4380,0.86665,1.03003,-0.00200,0.83460,1.00000,156.391,-0.014,0
14.4880,0.85714,1.02901,-0.00200,0.82710,1.00000,159.413,-0.014,0
14.5380,0.84755,1.02790,-0.00200,0.81960,1.00000,162.434,-0.014,0
14.5880,0.83793,1.02669,-0.00200,0.81210,1.00000,165.455,-0.013,0
14.6380,0.82829,1.02537,-0.00200,0.80460,1.00000,168.477,-0.013,0
14.6880,0.81866,1.02396,-0.00200,0.79710,1.00000,171.501,-0.013,0
14.7380,0.80907,1.02245,-0.00200,0.78960,1.00000,174.516,-0.013,0
14.7880,0.79954,1.02084,-0.00200,0.78210,1.00000,177.391,-0.013,0
14.8380,0.79010,1.01916,-0.00200,0.77460,1.00000,179.399,-0.013,0
14.8880,0.78080,1.01743,-0.00200,0.76710,1.00000,179.837,-0.013,0
14.9380,0.77164,1.01570,-0.00200,0.75960,1.00000,179.892,-0.012,0
14.9880,0.76261,1.01404,-0.00200,0.75210,1.00000,179.932,-0.013,0
15.0380,0.75369,1.01248,-0.00200,0.74460,1.00000,179.954,-0.013,0
15.0880,0.74488,1.01101,-0.00200,0.73710,1.00000,179.964,-0.014,0
15.1380,0.73618,1.00964,-0.00200,0.72960,1.00000,179.971,-0.014,0
15.1880,0.72758,1.00836,-0.00200,0.72210,1.00000,179.976,-0.014,0
15.2380,0.71909,1.00717,-0.00200,0.71460,1.00000,179.980,-0.014,0
15.2880,0.71068,1.00608,-0.00200,0.70710,1.00000,179.984,-0.015,0
15.3380,0.70238,1.00507,-0.00200,0.69960,1.00000,179.986,-0.015,0
15.3880,0.69415,1.00415,-0.00200,0.69210,1.00000,179.988,-0.015,0
15.4380,0.68601,1.00331,-0.00200,0.68460,1.00000,179.989,-0.015,0
15.4880,0.67794,1.00254,-0.00200,0.67710,1.00000,179.990,-0.015,0
15.5380,0.66995,1.00185,-0.00200,0.66960,1.00000,179.991,-0.015,0
15.5880,0.66202,1.00123,-0.00200,0.66210,1.00000,179.991,-0.015,0
15.6380,0.65415,1.00068,-0.00200,0.65460,1.00000,179.991,-0.014,0
15.6880,0.64633,1.00019,-0.00200,0.64710,1.00000,179.992,-0.014,0
15.7380,0.63857,0.99976,-0.00200,0.63960,1.00000,179.992,-0.014,0
15.7880,0.63085,0.99938,-0.00200,0.63210,1.00000,179.992,-0.014,0
15.8380,0.62318,0.99905,-0.00200,0.62460,1.00000,179.992,-0.014,0
15.8880,0.61554,0.99877,-0.00201,0.61710,1.00000,179.992,-0.014,0
15.9380,0.60793,0.99853,-0.00201,0.60960,1.00000,179.992,-0.014,0
15.9880,0.60036,0.99833,-0.00201,0.60210,1.00000,179.992,-0.014,0
16.0400,0.59251,0.99816,-0.00201,0.59430,1.00000,179.992,-0.013,0
16.0920,0.58468,0.99803,-0.00201,0.58650,1.00000,179.992,-0.013,0
16.1440,0.57687,0.99793,-0.00201,0.57870,1.00000,179.993,-0.013,0
16.1960,0.56908,0.99786,-0.00201,0.57090,1.00000,179.993,-0.013,0
16.2480,0.56131,0.99782,-0.00201,0.56310,1.00000,179.993,-0.013,0
16.3000,0.55355,0.99780,-0.00201,0.55530,1.00000,179.993,-0.013,0
16.3520,0.54580,0.99780,-0.00201,0.54750,1.00000,179.993,-0.013,0
16.4040,0.53806,0.99782,-0.00201,0.53970,1.00000,179.994,-0.013,0
16.4560,0.53032,0.99785,-0.00201,0.53190,1.00000,179.994,-0.013,0
16.5080,0.52259,0.99789,-0.00201,0.52410,1.00000,179.994,-0.012,0
16.5600,0.51486,0.99795,-0.00201,0.51630,1.00000,179.994,-0.012,0
16.6120,0.50714,0.99802,-0.00201,0.50850,1.00000,179.995,-0.012,0
16.6640,0.49941,0.99809,-0.00201,0.50070,1.00000,179.995,-0.012,0
