t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00073,-0.00006,-0.00000,0.00750,0.00000,0.012,-0.009,0
0.1020,0.00268,-0.00020,-0.00001,0.01500,0.00000,0.034,-0.016,0
0.1520,0.00574,-0.00041,-0.00002,0.02250,0.00000,0.049,-0.011,0
0.2020,0.00977,-0.00069,-0.00004,0.03000,0.00000,0.058,-0.006,0
0.2520,0.01467,-0.00102,-0.00006,0.03750,0.00000,0.062,-0.002,0
0.3020,0.02034,-0.00139,-0.00009,0.04500,0.00000,0.062,0.001,0
0.3520,0.02669,-0.00180,-0.00011,0.05250,0.00000,0.060,0.003,0
0.4020,0.03364,-0.00223,-0.00014,0.06000,0.00000,0.056,0.005,0
0.4520,0.04110,-0.00268,-0.00017,0.06750,0.00000,0.052,0.005,0
0.5040,0.04934,-0.00317,-0.00021,0.07530,0.00000,0.046,0.005,0
0.5540,0.05765,-0.00365,-0.00024,0.08280,0.00000,0.041,0.005,0
0.6040,0.06628,-0.00413,-0.00027,0.09030,0.00000,0.035,0.005,0
0.6540,0.07517,-0.00461,-0.00031,0.09780,0.00000,0.030,0.004,0
0.7040,0.08429,-0.00508,-0.00035,0.10530,0.00000,0.025,0.003,0
0.7540,0.09357,-0.00556,-0.00038,0.11280,0.00000,0.021,0.002,0
0.8040,0.10299,-0.00602,-0.00042,0.12030,0.00000,0.017,0.001,0
0.8540,0.11250,-0.00647,-0.00045,0.12780,0.00000,0.014,-0.000,0
0.9040,0.12206,-0.00690,-0.00049,0.13530,0.00000,0.011,-0.001,0
0.9540,0.13166,-0.00732,-0.00053,0.14280,0.00000,0.009,-0.002,0
1.0060,0.14164,-0.00775,-0.00056,0.15060,0.00000,0.007,-0.003,0
1.0560,0.15122,-0.00813,-0.00060,0.15810,0.00000,0.006,-0.004,0
1.1060,0.16076,-0.00851,-0.00063,0.16560,0.00000,0.006,-0.005,0
1.1560,0.17024,-0.00886,-0.00066,0.17310,0.00000,0.006,-0.006,0
1.2060,0.17965,-0.00919,-0.00069,0.18060,0.00000,0.006,-0.006,0
1.2560,0.18899,-0.00951,-0.00072,0.18810,0.00000,0.006,-0.007,0
1.3060,0.19823,-0.00981,-0.00075,0.19560,0.00000,0.007,-0.008,0
1.3560,0.20738,-0.01008,-0.00078,0.20310,0.00000,0.008,-0.008,0
1.4060,0.21642,-0.01035,-0.00081,0.21060,0.00000,0.009,-0.008,0
1.4560,0.22536,-0.01059,-0.00083,0.21810,0.00000,0.011,-0.009,0
1.5060,0.23420,-0.01082,-0.00086,0.22560,0.00000,0.012,-0.009,0
1.5560,0.24293,-0.01103,-0.00088,0.23310,0.00000,0.014,-0.009,0
1.6060,0.25156,-0.01122,-0.00090,0.24060,0.00000,0.016,-0.009,0
1.6560,0.26008,-0.01140,-0.00093,0.24810,0.00000,0.018,-0.009,0
1.7060,0.26851,-0.01156,-0.00095,0.25560,0.00000,0.020,-0.009,0
1.7560,0.27684,-0.01171,-0.00096,0.26310,0.00000,0.022,-0.009,0
1.8060,0.28507,-0.01185,-0.00098,0.27060,0.00000,0.024,-0.009,0
1.8560,0.29322,-0.01197,-0.00100,0.27810,0.00000,0.026,-0.009,0
1.9060,0.30128,-0.01209,-0.00102,0.28560,0.00000,0.027,-0.009,0
1.9560,0.30926,-0.01219,-0.00103,0.29310,0.00000,0.029,-0.008,0
2.0080,0.31749,-0.01228,-0.00104,0.30090,0.00000,0.031,-0.008,0
2.0600,0.32564,-0.01237,-0.00106,0.30870,0.00000,0.033,-0.008,0
2.1120,0.33373,-0.01244,-0.00107,0.31650,0.00000,0.035,-0.008,0
2.1640,0.34176,-0.01251,-0.00108,0.32430,0.00000,0.036,-0.008,0
2.2160,0.34973,-0.01256,-0.00109,0.33210,0.00000,0.038,-0.007,0
2.2680,0.35765,-0.01261,-0.00110,0.33990,0.00000,0.039,-0.007,0
2.3200,0.36553,-0.01265,-0.00111,0.34770,0.00000,0.041,-0.007,0
2.3720,0.37337,-0.01269,-0.00112,0.35550,0.00000,0.042,-0.007,0
2.4240,0.38117,-0.01272,-0.00113,0.36330,0.00000,0.043,-0.006,0
2.4760,0.38895,-0.01274,-0.00113,0.37110,0.00000,0.044,-0.006,0
2.5280,0.39670,-0.01276,-0.00114,0.37890,0.00000,0.045,-0.006,0
2.5800,0.40444,-0.01278,-0.00114,0.38670,0.00000,0.046,-0.006,0
2.6320,0.41215,-0.01279,-0.00115,0.39450,0.00000,0.047,-0.006,0
2.6840,0.41985,-0.01280,-0.00115,0.40230,0.00000,0.048,-0.006,0
2.7360,0.42754,-0.01280,-0.00116,0.41010,0.00000,0.048,-0.005,0
2.7880,0.43523,-0.01281,-0.00116,0.41790,0.00000,0.049,-0.005,0
2.8400,0.44290,-0.01281,-0.00116,0.42570,0.00000,0.049,-0.005,0
2.8920,0.45058,-0.01280,-0.00116,0.43350,0.00000,0.050,-0.005,0
2.9440,0.45825,-0.01280,-0.00117,0.44130,0.00000,0.050,-0.005,0
2.9960,0.46592,-0.01280,-0.00117,0.44910,0.00000,0.051,-0.005,0
3.0480,0.47360,-0.01279,-0.00117,0.45690,0.00000,0.051,-0.005,0
3.1000,0.48128,-0.01278,-0.00117,0.46470,0.00000,0.051,-0.005,0
3.1520,0.48896,-0.01278,-0.00117,0.47250,0.00000,0.051,-0.005,0
3.2040,0.49664,-0.01277,-0.00117,0.48030,0.00000,0.051,-0.005,0
3.2560,0.50434,-0.01276,-0.00117,0.48810,0.00000,0.051,-0.005,0
3.3080,0.51203,-0.01275,-0.00117,0.49590,0.00000,0.051,-0.005,0
3.3600,0.51974,-0.01274,-0.00117,0.50370,0.00000,0.051,-0.005,0
3.4120,0.52745,-0.01273,-0.00117,0.51150,0.00000,0.051,-0.005,0
3.4640,0.53516,-0.01272,-0.00117,0.51930,0.00000,0.051,-0.005,0
3.5160,0.54289,-0.01271,-0.00117,0.52710,0.00000,0.051,-0.005,0
3.5680,0.55062,-0.01270,-0.00117,0.53490,0.00000,0.051,-0.005,0
3.6200,0.55835,-0.01269,-0.00117,0.54270,0.00000,0.051,-0.005,0
3.6720,0.56609,-0.01268,-0.00117,0.55050,0.00000,0.051,-0.005,0
3.7240,0.57384,-0.01267,-0.00117,0.55830,0.00000,0.051,-0.005,0
3.7760,0.58160,-0.01266,-0.00117,0.56610,0.00000,0.051,-0.005,0
3.8280,0.58935,-0.01265,-0.00117,0.57390,0.00000,0.051,-0.005,0
3.8800,0.59712,-0.01265,-0.00117,0.58170,0.00000,0.051,-0.005,0
3.9320,0.60489,-0.01264,-0.00116,0.58950,0.00000,0.051,-0.005,0
3.9840,0.61266,-0.01263,-0.00116,0.59730,0.00000,0.051,-0.005,0
4.0360,0.62044,-0.01263,-0.00116,0.60510,0.00000,0.051,-0.005,0
4.0880,0.62822,-0.01262,-0.00116,0.61290,0.00000,0.050,-0.005,0
4.1400,0.63601,-0.01261,-0.00116,0.62070,0.00000,0.050,-0.005,0
4.1920,0.64380,-0.01261,-0.00116,0.62850,0.00000,0.050,-0.005,0
4.2440,0.65159,-0.01260,-0.00116,0.63630,0.00000,0.050,-0.005,0
4.2960,0.65938,-0.01260,-0.00116,0.64410,0.00000,0.050,-0.005,0
4.3480,0.66718,-0.01259,-0.00116,0.65190,0.00000,0.050,-0.005,0
4.4000,0.67498,-0.01259,-0.00116,0.65970,0.00000,0.050,-0.005,0
4.4520,0.68278,-0.01258,-0.00116,0.66750,0.00000,0.050,-0.005,0
4.5040,0.69058,-0.01258,-0.00115,0.67530,0.00000,0.050,-0.005,0
4.5560,0.69838,-0.01258,-0.00115,0.68310,0.00000,0.050,-0.005,0
4.6080,0.70619,-0.01258,-0.00115,0.69090,0.00000,0.050,-0.005,0
4.6600,0.71399,-0.01257,-0.00115,0.69870,0.00000,0.050,-0.005,0
4.7120,0.72180,-0.01257,-0.00115,0.70650,0.00000,0.050,-0.005,0
4.7640,0.72960,-0.01257,-0.00115,0.71430,0.00000,0.050,-0.005,0
4.8160,0.73741,-0.01257,-0.00115,0.72210,0.00000,0.050,-0.005,0
