t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00061,0.00023,0.00006,0.00750,0.00000,0.027,-0.007,0
0.1020,0.00228,0.00061,0.00014,0.01500,0.00000,0.016,-0.013,0
0.1520,0.00493,0.00094,0.00021,0.02250,0.00000,-0.051,-0.012,0
0.2020,0.00848,0.00123,0.00026,0.03000,0.00000,-0.102,-0.013,0
0.2520,0.01284,0.00146,0.00030,0.03750,0.00000,-0.139,-0.014,0
0.3020,0.01791,0.00164,0.00033,0.04500,0.00000,-0.166,-0.014,0
0.3520,0.02363,0.00178,0.00035,0.05250,0.00000,-0.184,-0.015,0
0.4020,0.02991,0.00188,0.00036,0.06000,0.00000,-0.195,-0.015,0
0.4520,0.03669,0.00194,0.00035,0.06750,0.00000,-0.200,-0.016,0
0.5040,0.04420,0.00197,0.00034,0.07530,0.00000,-0.201,-0.016,0
0.5540,0.05180,0.00198,0.00032,0.08280,0.00000,-0.199,-0.016,0
0.6040,0.05972,0.00195,0.00029,0.09030,0.00000,-0.194,-0.016,0
0.6540,0.06791,0.00190,0.00026,0.09780,0.00000,-0.188,-0.016,0
0.7040,0.07631,0.00184,0.00022,0.10530,0.00000,-0.179,-0.016,0
0.7540,0.08489,0.00176,0.00017,0.11280,0.00000,-0.171,-0.015,0
0.8040,0.09362,0.00167,0.00012,0.12030,0.00000,-0.162,-0.015,0
0.8540,0.10245,0.00156,0.00007,0.12780,0.00000,-0.152,-0.014,0
0.9040,0.11136,0.00145,0.00001,0.13530,0.00000,-0.143,-0.013,0
0.9540,0.12032,0.00133,-0.00005,0.14280,0.00000,-0.134,-0.013,0
1.0060,0.12968,0.00118,-0.00012,0.15060,0.00000,-0.125,-0.012,0
1.0560,0.13869,0.00104,-0.00018,0.15810,0.00000,-0.117,-0.011,0
1.1060,0.14768,0.00090,-0.00025,0.16560,0.00000,-0.109,-0.009,0
1.1560,0.15665,0.00075,-0.00032,0.17310,0.00000,-0.102,-0.008,0
1.2060,0.16559,0.00060,-0.00039,0.18060,0.00000,-0.096,-0.007,0
1.2560,0.17449,0.00044,-0.00046,0.18810,0.00000,-0.090,-0.006,0
1.3060,0.18334,0.00028,-0.00054,0.19560,0.00000,-0.085,-0.004,0
1.3560,0.19211,0.00013,-0.00061,0.20310,0.00000,-0.080,-0.003,0
1.4060,0.20083,-0.00002,-0.00069,0.21060,0.00000,-0.076,-0.002,0
1.4560,0.20947,-0.00018,-0.00076,0.21810,0.00000,-0.072,-0.001,0
1.5060,0.21805,-0.00033,-0.00084,0.22560,0.00000,-0.069,0.001,0
1.5560,0.22655,-0.00048,-0.00091,0.23310,0.00000,-0.067,0.002,0
1.6060,0.23498,-0.00062,-0.00099,0.24060,0.00000,-0.064,0.003,0
1.6560,0.24333,-0.00077,-0.00106,0.24810,0.00000,-0.062,0.004,0
1.7060,0.25162,-0.00091,-0.00114,0.25560,0.00000,-0.061,0.006,0
1.7560,0.25983,-0.00104,-0.00121,0.26310,0.00000,-0.059,0.007,0
1.8060,0.26798,-0.00117,-0.00129,0.27060,0.00000,-0.058,0.008,0
1.8560,0.27607,-0.00130,-0.00136,0.27810,0.00000,-0.057,0.008,0
1.9060,0.28409,-0.00142,-0.00144,0.28560,0.00000,-0.056,0.009,0
1.9560,0.29206,-0.00155,-0.00151,0.29310,0.00000,-0.055,0.010,0
2.0080,0.30030,-0.00167,-0.00158,0.30090,0.00000,-0.054,0.011,0
2.0600,0.30847,-0.00178,-0.00166,0.30870,0.00000,-0.053,0.012,0
2.1120,0.31658,-0.00188,-0.00173,0.31650,0.00000,-0.052,0.012,0
2.1640,0.32465,-0.00198,-0.00180,0.32430,0.00000,-0.051,0.013,0
2.2160,0.33267,-0.00207,-0.00187,0.33210,0.00000,-0.051,0.013,0
2.2680,0.34065,-0.00214,-0.00194,0.33990,0.00000,-0.049,0.013,0
2.3200,0.34860,-0.00222,-0.00200,0.34770,0.00000,-0.048,0.013,0
2.3720,0.35652,-0.00229,-0.00207,0.35550,0.00000,-0.048,0.012,0
2.4240,0.36441,-0.00236,-0.00213,0.36330,0.00000,-0.046,0.012,0
2.4760,0.37228,-0.00242,-0.00219,0.37110,0.00000,-0.045,0.012,0
2.5280,0.38012,-0.00247,-0.00225,0.37890,0.00000,-0.044,0.012,0
2.5800,0.38795,-0.00252,-0.00230,0.38670,0.00000,-0.042,0.012,0
2.6320,0.39575,-0.00255,-0.00236,0.39450,0.00000,-0.041,0.011,0
2.6840,0.40354,-0.00258,-0.00241,0.40230,0.00000,-0.039,0.010,0
