t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00049,-0.00006,-0.00001,0.00750,0.00000,-0.005,-0.010,0
0.1020,0.00182,-0.00018,-0.00005,0.01500,0.00000,-0.019,-0.019,0
0.1520,0.00394,-0.00036,-0.00010,0.02250,0.00000,-0.038,-0.015,0
0.2020,0.00677,-0.00057,-0.00016,0.03000,0.00000,-0.061,-0.010,0
0.2520,0.01026,-0.00078,-0.00024,0.03750,0.00000,-0.086,-0.005,0
0.3020,0.01434,-0.00098,-0.00032,0.04500,0.00000,-0.113,0.000,0
0.3520,0.01896,-0.00117,-0.00041,0.05250,0.00000,-0.140,0.005,0
0.4020,0.02406,-0.00132,-0.00051,0.06000,0.00000,-0.166,0.009,0
0.4520,0.02960,-0.00144,-0.00061,0.06750,0.00000,-0.192,0.013,0
0.5040,0.03577,-0.00153,-0.00071,0.07530,0.00000,-0.217,0.016,0
0.5540,0.04204,-0.00156,-0.00080,0.08280,0.00000,-0.239,0.019,0
0.6040,0.04860,-0.00154,-0.00089,0.09030,0.00000,-0.260,0.022,0
0.6540,0.05543,-0.00147,-0.00097,0.09780,0.00000,-0.278,0.024,0
0.7040,0.06247,-0.00135,-0.00104,0.10530,0.00000,-0.295,0.027,0
0.7540,0.06970,-0.00119,-0.00110,0.11280,0.00000,-0.310,0.028,0
0.8040,0.07710,-0.00099,-0.00116,0.12030,0.00000,-0.322,0.030,0
0.8540,0.08463,-0.00074,-0.00120,0.12780,0.00000,-0.334,0.031,0
0.9040,0.09228,-0.00046,-0.00123,0.13530,0.00000,-0.343,0.033,0
0.9540,0.10002,-0.00015,-0.00124,0.14280,0.00000,-0.351,0.034,0
1.0060,0.10815,0.00021,-0.00125,0.15060,0.00000,-0.357,0.034,0
1.0560,0.11603,0.00060,-0.00123,0.15810,0.00000,-0.362,0.035,0
1.1060,0.12396,0.00100,-0.00120,0.16560,0.00000,-0.366,0.035,0
1.1560,0.13193,0.00143,-0.00116,0.17310,0.00000,-0.368,0.036,0
1.2060,0.13992,0.00188,-0.00110,0.18060,0.00000,-0.370,0.036,0
1.2560,0.14793,0.00236,-0.00103,0.18810,0.00000,-0.370,0.036,0
1.3060,0.15596,0.00286,-0.00094,0.19560,0.00000,-0.369,0.036,0
1.3560,0.16400,0.00335,-0.00083,0.20310,0.00000,-0.368,0.036,0
1.4060,0.17204,0.00385,-0.00071,0.21060,0.00000,-0.365,0.035,0
1.4560,0.18009,0.00435,-0.00058,0.21810,0.00000,-0.362,0.035,0
1.5060,0.18814,0.00485,-0.00043,0.22560,0.00000,-0.359,0.034,0
1.5560,0.19619,0.00534,-0.00028,0.23310,0.00000,-0.354,0.033,0
1.6060,0.20425,0.00581,-0.00011,0.24060,0.00000,-0.350,0.032,0
1.6560,0.21230,0.00628,0.00008,0.24810,0.00000,-0.344,0.031,0
1.7060,0.22036,0.00673,0.00027,0.25560,0.00000,-0.339,0.030,0
1.7560,0.22842,0.00715,0.00047,0.26310,0.00000,-0.333,0.029,0
1.8060,0.23649,0.00755,0.00067,0.27060,0.00000,-0.326,0.028,0
1.8560,0.24457,0.00793,0.00089,0.27810,0.00000,-0.320,0.026,0
1.9060,0.25265,0.00829,0.00111,0.28560,0.00000,-0.313,0.025,0
1.9560,0.26074,0.00863,0.00133,0.29310,0.00000,-0.306,0.023,0
2.0080,0.26917,0.00896,0.00157,0.30090,0.00000,-0.298,0.021,0
2.0600,0.27761,0.00926,0.00181,0.30870,0.00000,-0.290,0.019,0
2.1120,0.28606,0.00952,0.00204,0.31650,0.00000,-0.282,0.017,0
2.1640,0.29454,0.00974,0.00228,0.32430,0.00000,-0.274,0.015,0
2.2160,0.30304,0.00991,0.00251,0.33210,0.00000,-0.266,0.013,0
2.2680,0.31156,0.01002,0.00274,0.33990,0.00000,-0.258,0.010,0
2.3200,0.32010,0.01009,0.00297,0.34770,0.00000,-0.250,0.008,0
2.3720,0.32866,0.01011,0.00319,0.35550,0.00000,-0.242,0.005,0
2.4240,0.33726,0.01010,0.00339,0.36330,0.00000,-0.234,0.003,0
2.4760,0.34587,0.01006,0.00359,0.37110,0.00000,-0.227,0.000,0
2.5280,0.35451,0.00999,0.00378,0.37890,0.00000,-0.219,-0.002,0
