t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00067,-0.00011,0.00007,0.00750,0.00000,0.010,-0.010,0
0.1020,0.00244,-0.00028,0.00016,0.01500,0.00000,0.032,-0.015,0
0.1520,0.00518,-0.00043,0.00024,0.02250,0.00000,0.054,-0.008,0
0.2020,0.00881,-0.00055,0.00030,0.03000,0.00000,0.069,-0.002,0
0.2520,0.01323,-0.00065,0.00035,0.03750,0.00000,0.080,0.003,0
0.3020,0.01836,-0.00072,0.00038,0.04500,0.00000,0.087,0.008,0
0.3520,0.02413,-0.00077,0.00039,0.05250,0.00000,0.090,0.012,0
0.4020,0.03045,-0.00080,0.00039,0.06000,0.00000,0.091,0.015,0
0.4520,0.03726,-0.00081,0.00038,0.06750,0.00000,0.090,0.018,0
0.5040,0.04479,-0.00082,0.00035,0.07530,0.00000,0.088,0.020,0
0.5540,0.05240,-0.00081,0.00032,0.08280,0.00000,0.085,0.022,0
0.6040,0.06031,-0.00078,0.00027,0.09030,0.00000,0.082,0.023,0
0.6540,0.06847,-0.00075,0.00022,0.09780,0.00000,0.078,0.024,0
0.7040,0.07686,-0.00072,0.00017,0.10530,0.00000,0.073,0.025,0
0.7540,0.08541,-0.00069,0.00011,0.11280,0.00000,0.069,0.025,0
0.8040,0.09410,-0.00065,0.00004,0.12030,0.00000,0.065,0.025,0
0.8540,0.10289,-0.00060,-0.00003,0.12780,0.00000,0.061,0.026,0
0.9040,0.11175,-0.00056,-0.00010,0.13530,0.00000,0.057,0.026,0
0.9540,0.12067,-0.00051,-0.00018,0.14280,0.00000,0.053,0.026,0
1.0060,0.12996,-0.00044,-0.00026,0.15060,0.00000,0.050,0.025,0
1.0560,0.13891,-0.00039,-0.00034,0.15810,0.00000,0.046,0.025,0
1.1060,0.14785,-0.00034,-0.00042,0.16560,0.00000,0.043,0.025,0
1.1560,0.15677,-0.00028,-0.00050,0.17310,0.00000,0.041,0.024,0
1.2060,0.16565,-0.00022,-0.00058,0.18060,0.00000,0.038,0.024,0
1.2560,0.17448,-0.00016,-0.00066,0.18810,0.00000,0.036,0.023,0
1.3060,0.18327,-0.00010,-0.00073,0.19560,0.00000,0.034,0.023,0
1.3560,0.19200,-0.00004,-0.00081,0.20310,0.00000,0.032,0.022,0
1.4060,0.20067,0.00000,-0.00089,0.21060,0.00000,0.030,0.022,0
1.4560,0.20927,0.00006,-0.00096,0.21810,0.00000,0.029,0.021,0
1.5060,0.21781,0.00012,-0.00103,0.22560,0.00000,0.028,0.021,0
1.5560,0.22628,0.00016,-0.00110,0.23310,0.00000,0.027,0.020,0
1.6060,0.23468,0.00020,-0.00117,0.24060,0.00000,0.026,0.020,0
1.6560,0.24302,0.00025,-0.00123,0.24810,0.00000,0.025,0.020,0
1.7060,0.25128,0.00029,-0.00129,0.25560,0.00000,0.025,0.019,0
1.7560,0.25949,0.00032,-0.00135,0.26310,0.00000,0.024,0.019,0
1.8060,0.26763,0.00036,-0.00141,0.27060,0.00000,0.024,0.019,0
1.8560,0.27571,0.00040,-0.00147,0.27810,0.00000,0.024,0.018,0
1.9060,0.28373,0.00044,-0.00152,0.28560,0.00000,0.024,0.018,0
1.9560,0.29170,0.00048,-0.00157,0.29310,0.00000,0.024,0.018,0
2.0080,0.29993,0.00052,-0.00162,0.30090,0.00000,0.023,0.017,0
2.0600,0.30811,0.00055,-0.00167,0.30870,0.00000,0.023,0.017,0
2.1120,0.31625,0.00057,-0.00171,0.31650,0.00000,0.023,0.017,0
2.1640,0.32434,0.00059,-0.00175,0.32430,0.00000,0.024,0.017,0
2.2160,0.33239,0.00061,-0.00179,0.33210,0.00000,0.024,0.016,0
2.2680,0.34040,0.00060,-0.00183,0.33990,0.00000,0.024,0.016,0
2.3200,0.34838,0.00062,-0.00186,0.34770,0.00000,0.025,0.016,0
2.3720,0.35633,0.00063,-0.00189,0.35550,0.00000,0.026,0.016,0
2.4240,0.36424,0.00064,-0.00192,0.36330,0.00000,0.026,0.016,0
2.4760,0.37213,0.00066,-0.00195,0.37110,0.00000,0.026,0.016,0
2.5280,0.38000,0.00067,-0.00197,0.37890,0.00000,0.026,0.016,0
2.5800,0.38785,0.00068,-0.00200,0.38670,0.00000,0.027,0.016,0
2.6320,0.39569,0.00068,-0.00202,0.39450,0.00000,0.027,0.016,0
2.6840,0.40351,0.00068,-0.00204,0.40230,0.00000,0.027,0.016,0
2.7360,0.41131,0.00068,-0.00205,0.41010,0.00000,0.028,0.016,0
2.7880,0.41911,0.00068,-0.00207,0.41790,0.00000,0.029,0.016,0
2.8400,0.42689,0.00068,-0.00208,0.42570,0.00000,0.029,0.016,0
2.8920,0.43467,0.00068,-0.00210,0.43350,0.00000,0.029,0.016,0
2.9440,0.44244,0.00068,-0.00211,0.44130,0.00000,0.030,0.016,0
2.9960,0.45021,0.00069,-0.00212,0.44910,0.00000,0.030,0.016,0
3.0480,0.45797,0.00070,-0.00213,0.45690,0.00000,0.030,0.016,0
3.1000,0.46572,0.00070,-0.00213,0.46470,0.00000,0.030,0.016,0
3.1520,0.47348,0.00069,-0.00214,0.47250,0.00000,0.030,0.016,0
3.2040,0.48124,0.00069,-0.00215,0.48030,0.00000,0.030,0.016,0
3.2560,0.48900,0.00069,-0.00215,0.48810,0.00000,0.031,0.016,0
3.3080,0.49675,0.00069,-0.00216,0.49590,0.00000,0.031,0.016,0
3.3600,0.50450,0.00070,-0.00216,0.50370,0.00000,0.031,0.016,0
3.4120,0.51225,0.00072,-0.00216,0.51150,0.00000,0.031,0.016,0
3.4640,0.52001,0.00073,-0.00216,0.51930,0.00000,0.030,0.016,0
3.5160,0.52777,0.00073,-0.00216,0.52710,0.00000,0.030,0.016,0
3.5680,0.53553,0.00073,-0.00217,0.53490,0.00000,0.030,0.016,0
3.6200,0.54329,0.00074,-0.00217,0.54270,0.00000,0.030,0.016,0
3.6720,0.55106,0.00073,-0.00217,0.55050,0.00000,0.030,0.016,0
3.7240,0.55883,0.00072,-0.00216,0.55830,0.00000,0.030,0.016,0
3.7760,0.56660,0.00072,-0.00216,0.56610,0.00000,0.030,0.016,0
3.8280,0.57437,0.00073,-0.00216,0.57390,0.00000,0.030,0.016,0
3.8800,0.58214,0.00073,-0.00216,0.58170,0.00000,0.030,0.016,0
3.9320,0.58992,0.00072,-0.00216,0.58950,0.00000,0.030,0.016,0
3.9840,0.59770,0.00072,-0.00216,0.59730,0.00000,0.030,0.016,0
4.0360,0.60548,0.00072,-0.00216,0.60510,0.00000,0.030,0.016,0
4.0880,0.61326,0.00071,-0.00215,0.61290,0.00000,0.030,0.016,0
4.1400,0.62105,0.00070,-0.00215,0.62070,0.00000,0.030,0.016,0
4.1920,0.62884,0.00069,-0.00215,0.62850,0.00000,0.030,0.016,0
