t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00072,0.00007,0.00007,0.00750,0.00000,-0.013,-0.009,0
0.1020,0.00256,0.00017,0.00016,0.01500,0.00000,-0.033,-0.013,0
0.1520,0.00535,0.00026,0.00024,0.02250,0.00000,-0.044,-0.003,0
0.2020,0.00900,0.00033,0.00030,0.03000,0.00000,-0.050,0.005,0
0.2520,0.01344,0.00039,0.00035,0.03750,0.00000,-0.054,0.012,0
0.3020,0.01858,0.00044,0.00038,0.04500,0.00000,-0.057,0.018,0
0.3520,0.02434,0.00047,0.00039,0.05250,0.00000,-0.058,0.022,0
0.4020,0.03066,0.00049,0.00039,0.06000,0.00000,-0.058,0.026,0
0.4520,0.03747,0.00050,0.00037,0.06750,0.00000,-0.057,0.029,0
0.5040,0.04499,0.00051,0.00035,0.07530,0.00000,-0.056,0.032,0
0.5540,0.05259,0.00051,0.00031,0.08280,0.00000,-0.054,0.034,0
0.6040,0.06050,0.00050,0.00027,0.09030,0.00000,-0.051,0.036,0
0.6540,0.06867,0.00048,0.00022,0.09780,0.00000,-0.049,0.038,0
0.7040,0.07705,0.00046,0.00016,0.10530,0.00000,-0.046,0.039,0
0.7540,0.08560,0.00044,0.00010,0.11280,0.00000,-0.043,0.040,0
0.8040,0.09428,0.00041,0.00003,0.12030,0.00000,-0.041,0.041,0
0.8540,0.10307,0.00038,-0.00004,0.12780,0.00000,-0.038,0.041,0
0.9040,0.11193,0.00035,-0.00011,0.13530,0.00000,-0.035,0.042,0
0.9540,0.12084,0.00032,-0.00019,0.14280,0.00000,-0.033,0.042,0
1.0060,0.13013,0.00028,-0.00027,0.15060,0.00000,-0.031,0.042,0
1.0560,0.13907,0.00024,-0.00035,0.15810,0.00000,-0.029,0.042,0
1.1060,0.14801,0.00021,-0.00043,0.16560,0.00000,-0.027,0.042,0
1.1560,0.15692,0.00017,-0.00051,0.17310,0.00000,-0.025,0.041,0
1.2060,0.16579,0.00014,-0.00059,0.18060,0.00000,-0.023,0.041,0
1.2560,0.17462,0.00010,-0.00066,0.18810,0.00000,-0.022,0.041,0
1.3060,0.18340,0.00007,-0.00074,0.19560,0.00000,-0.021,0.040,0
1.3560,0.19213,0.00003,-0.00082,0.20310,0.00000,-0.020,0.040,0
1.4060,0.20079,-0.00000,-0.00089,0.21060,0.00000,-0.019,0.040,0
1.4560,0.20938,-0.00003,-0.00097,0.21810,0.00000,-0.018,0.039,0
1.5060,0.21791,-0.00006,-0.00104,0.22560,0.00000,-0.017,0.039,0
1.5560,0.22638,-0.00009,-0.00111,0.23310,0.00000,-0.016,0.038,0
1.6060,0.23477,-0.00012,-0.00118,0.24060,0.00000,-0.016,0.038,0
1.6560,0.24310,-0.00015,-0.00124,0.24810,0.00000,-0.016,0.037,0
1.7060,0.25136,-0.00017,-0.00130,0.25560,0.00000,-0.015,0.037,0
1.7560,0.25955,-0.00020,-0.00136,0.26310,0.00000,-0.015,0.036,0
1.8060,0.26769,-0.00022,-0.00142,0.27060,0.00000,-0.015,0.036,0
1.8560,0.27576,-0.00024,-0.00148,0.27810,0.00000,-0.015,0.036,0
1.9060,0.28378,-0.00026,-0.00153,0.28560,0.00000,-0.015,0.035,0
1.9560,0.29174,-0.00028,-0.00158,0.29310,0.00000,-0.015,0.035,0
2.0080,0.29997,-0.00030,-0.00163,0.30090,0.00000,-0.015,0.035,0
2.0600,0.30815,-0.00031,-0.00167,0.30870,0.00000,-0.015,0.034,0
2.1120,0.31628,-0.00033,-0.00172,0.31650,0.00000,-0.015,0.034,0
2.1640,0.32436,-0.00034,-0.00176,0.32430,0.00000,-0.015,0.034,0
2.2160,0.33240,-0.00035,-0.00180,0.33210,0.00000,-0.015,0.033,0
2.2680,0.34041,-0.00036,-0.00183,0.33990,0.00000,-0.016,0.033,0
2.3200,0.34838,-0.00037,-0.00187,0.34770,0.00000,-0.016,0.033,0
2.3720,0.35632,-0.00038,-0.00190,0.35550,0.00000,-0.016,0.033,0
2.4240,0.36424,-0.00039,-0.00193,0.36330,0.00000,-0.016,0.032,0
2.4760,0.37213,-0.00040,-0.00195,0.37110,0.00000,-0.016,0.032,0
2.5280,0.37999,-0.00040,-0.00198,0.37890,0.00000,-0.017,0.032,0
2.5800,0.38784,-0.00041,-0.00200,0.38670,0.00000,-0.017,0.032,0
2.6320,0.39567,-0.00041,-0.00202,0.39450,0.00000,-0.017,0.032,0
2.6840,0.40349,-0.00042,-0.00204,0.40230,0.00000,-0.017,0.032,0
2.7360,0.41129,-0.00042,-0.00206,0.41010,0.00000,-0.017,0.032,0
2.7880,0.41909,-0.00042,-0.00207,0.41790,0.00000,-0.017,0.032,0
2.8400,0.42687,-0.00042,-0.00209,0.42570,0.00000,-0.018,0.032,0
2.8920,0.43465,-0.00043,-0.00210,0.43350,0.00000,-0.018,0.032,0
2.9440,0.44242,-0.00043,-0.00211,0.44130,0.00000,-0.018,0.031,0
2.9960,0.45018,-0.00043,-0.00212,0.44910,0.00000,-0.018,0.031,0
3.0480,0.45795,-0.00043,-0.00213,0.45690,0.00000,-0.018,0.031,0
3.1000,0.46570,-0.00043,-0.00214,0.46470,0.00000,-0.018,0.031,0
3.1520,0.47346,-0.00043,-0.00214,0.47250,0.00000,-0.018,0.031,0
3.2040,0.48122,-0.00043,-0.00215,0.48030,0.00000,-0.018,0.031,0
3.2560,0.48898,-0.00043,-0.00215,0.48810,0.00000,-0.019,0.031,0
3.3080,0.49673,-0.00043,-0.00216,0.49590,0.00000,-0.019,0.031,0
3.3600,0.50449,-0.00043,-0.00216,0.50370,0.00000,-0.019,0.031,0
3.4120,0.51225,-0.00042,-0.00216,0.51150,0.00000,-0.019,0.031,0
3.4640,0.52001,-0.00042,-0.00217,0.51930,0.00000,-0.019,0.031,0
3.5160,0.52777,-0.00042,-0.00217,0.52710,0.00000,-0.019,0.031,0
3.5680,0.53553,-0.00042,-0.00217,0.53490,0.00000,-0.019,0.031,0
3.6200,0.54329,-0.00042,-0.00217,0.54270,0.00000,-0.019,0.031,0
3.6720,0.55106,-0.00042,-0.00217,0.55050,0.00000,-0.019,0.031,0
3.7240,0.55883,-0.00042,-0.00217,0.55830,0.00000,-0.019,0.031,0
3.7760,0.56660,-0.00042,-0.00217,0.56610,0.00000,-0.019,0.031,0
3.8280,0.57437,-0.00041,-0.00216,0.57390,0.00000,-0.019,0.031,0
3.8800,0.58215,-0.00041,-0.00216,0.58170,0.00000,-0.019,0.031,0
3.9320,0.58993,-0.00041,-0.00216,0.58950,0.00000,-0.019,0.031,0
3.9840,0.59771,-0.00041,-0.00216,0.59730,0.00000,-0.019,0.032,0
4.0360,0.60549,-0.00041,-0.00216,0.60510,0.00000,-0.019,0.032,0
4.0880,0.61327,-0.00041,-0.00215,0.61290,0.00000,-0.019,0.032,0
4.1400,0.62106,-0.00041,-0.00215,0.62070,0.00000,-0.019,0.032,0
4.1920,0.62884,-0.00041,-0.00215,0.62850,0.00000,-0.019,0.032,0
4.2440,0.63663,-0.00041,-0.00215,0.63630,0.00000,-0.019,0.032,0
4.2960,0.64442,-0.00040,-0.00214,0.64410,0.00000,-0.019,0.032,0
4.3480,0.65221,-0.00040,-0.00214,0.65190,0.00000,-0.019,0.032,0
4.4000,0.66000,-0.00040,-0.00214,0.65970,0.00000,-0.019,0.032,0
4.4520,0.66780,-0.00040,-0.00214,0.66750,0.00000,-0.019,0.032,0
4.5040,0.67559,-0.00040,-0.00213,0.67530,0.00000,-0.019,0.032,0
4.5560,0.68339,-0.00040,-0.00213,0.68310,0.00000,-0.019,0.032,0
4.6080,0.69118,-0.00040,-0.00213,0.69090,0.00000,-0.019,0.032,0
4.6600,0.69898,-0.00040,-0.00213,0.69870,0.00000,-0.019,0.032,0
4.7120,0.70678,-0.00040,-0.00212,0.70650,0.00000,-0.019,0.032,0
4.7640,0.71458,-0.00040,-0.00212,0.71430,0.00000,-0.019,0.032,0
4.8160,0.72237,-0.00040,-0.00212,0.72210,0.00000,-0.019,0.032,0
4.8680,0.73017,-0.00040,-0.00212,0.72990,0.00000,-0.019,0.032,0
4.9200,0.73797,-0.00040,-0.00212,0.73770,0.00000,-0.019,0.032,0
4.9720,0.74577,-0.00040,-0.00211,0.74550,0.00000,-0.019,0.032,0
5.0240,0.75357,-0.00040,-0.00211,0.75330,0.00000,-0.019,0.032,0
5.0760,0.76137,-0.00040,-0.00211,0.76110,0.00000,-0.019,0.032,0
