t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00054,0.00006,-0.00000,0.00750,0.00000,0.015,-0.012,0
0.1020,0.00201,0.00023,-0.00001,0.01500,0.00000,0.043,-0.024,0
0.1520,0.00431,0.00050,-0.00002,0.02250,0.00000,0.069,-0.024,0
0.2020,0.00737,0.00084,-0.00004,0.03000,0.00000,0.093,-0.023,0
0.2520,0.01112,0.00125,-0.00006,0.03750,0.00000,0.115,-0.023,0
0.3020,0.01547,0.00170,-0.00008,0.04500,0.00000,0.136,-0.023,0
0.3520,0.02037,0.00220,-0.00010,0.05250,0.00000,0.154,-0.024,0
0.4020,0.02576,0.00272,-0.00013,0.06000,0.00000,0.171,-0.025,0
0.4520,0.03157,0.00327,-0.00016,0.06750,0.00000,0.186,-0.026,0
0.5040,0.03802,0.00385,-0.00019,0.07530,0.00000,0.200,-0.027,0
0.5540,0.04455,0.00443,-0.00023,0.08280,0.00000,0.212,-0.029,0
0.6040,0.05136,0.00500,-0.00026,0.09030,0.00000,0.223,-0.030,0
0.6540,0.05843,0.00556,-0.00029,0.09780,0.00000,0.232,-0.032,0
0.7040,0.06570,0.00612,-0.00033,0.10530,0.00000,0.240,-0.034,0
0.7540,0.07315,0.00667,-0.00036,0.11280,0.00000,0.247,-0.035,0
0.8040,0.08075,0.00722,-0.00040,0.12030,0.00000,0.253,-0.037,0
0.8540,0.08847,0.00775,-0.00043,0.12780,0.00000,0.259,-0.039,0
0.9040,0.09628,0.00827,-0.00047,0.13530,0.00000,0.264,-0.040,0
0.9540,0.10417,0.00878,-0.00050,0.14280,0.00000,0.268,-0.042,0
1.0060,0.11245,0.00928,-0.00054,0.15060,0.00000,0.271,-0.043,0
1.0560,0.12046,0.00974,-0.00057,0.15810,0.00000,0.274,-0.044,0
1.1060,0.12850,0.01018,-0.00060,0.16560,0.00000,0.277,-0.045,0
1.1560,0.13656,0.01061,-0.00063,0.17310,0.00000,0.279,-0.046,0
1.2060,0.14464,0.01101,-0.00066,0.18060,0.00000,0.281,-0.047,0
1.2560,0.15273,0.01138,-0.00069,0.18810,0.00000,0.282,-0.048,0
1.3060,0.16082,0.01173,-0.00072,0.19560,0.00000,0.283,-0.049,0
1.3560,0.16890,0.01206,-0.00075,0.20310,0.00000,0.284,-0.050,0
1.4060,0.17697,0.01237,-0.00077,0.21060,0.00000,0.285,-0.050,0
1.4560,0.18502,0.01265,-0.00080,0.21810,0.00000,0.285,-0.051,0
1.5060,0.19305,0.01292,-0.00082,0.22560,0.00000,0.286,-0.051,0
1.5560,0.20106,0.01316,-0.00085,0.23310,0.00000,0.286,-0.052,0
1.6060,0.20905,0.01339,-0.00087,0.24060,0.00000,0.286,-0.052,0
