t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00006,-0.00000,0.00000,0.00750,0.00000,-0.001,-0.001,0
0.1020,0.00084,-0.00001,0.00001,0.01500,0.00000,-0.004,-0.006,0
0.1520,0.00300,-0.00002,0.00002,0.02250,0.00000,-0.009,-0.013,0
0.2020,0.00646,-0.00004,0.00003,0.03000,0.00000,-0.015,-0.024,0
0.2520,0.01094,-0.00006,0.00004,0.03750,0.00000,-0.022,-0.039,0
0.3020,0.01624,-0.00008,0.00006,0.04500,0.00000,-0.030,-0.057,0
0.3520,0.02218,-0.00010,0.00008,0.05250,0.00000,-0.038,-0.080,0
0.4020,0.02862,-0.00012,0.00010,0.06000,0.00000,-0.047,-0.107,0
0.4520,0.03545,-0.00015,0.00012,0.06750,0.00000,-0.055,-0.138,0
0.5040,0.04289,-0.00017,0.00014,0.07530,0.00000,-0.064,-0.175,0
0.5540,0.05027,-0.00019,0.00017,0.08280,0.00000,-0.073,-0.215,0
0.6040,0.05785,-0.00021,0.00019,0.09030,0.00000,-0.080,-0.259,0
0.6540,0.06557,-0.00023,0.00022,0.09780,0.00000,-0.088,-0.308,0
0.7040,0.07340,-0.00025,0.00025,0.10530,0.00000,-0.095,-0.361,0
0.7540,0.08130,-0.00027,0.00027,0.11280,0.00000,-0.101,-0.418,0
0.8040,0.08926,-0.00029,0.00030,0.12030,0.00000,-0.107,-0.480,0
0.8540,0.09727,-0.00030,0.00033,0.12780,0.00000,-0.112,-0.546,0
0.9040,0.10530,-0.00032,0.00035,0.13530,0.00000,-0.116,-0.617,0
0.9540,0.11335,-0.00033,0.00038,0.14280,0.00000,-0.120,-0.691,0
1.0060,0.12174,-0.00034,0.00041,0.15060,0.00000,-0.123,-0.773,0
1.0560,0.12982,-0.00035,0.00043,0.15810,0.00000,-0.125,-0.857,0
1.1060,0.13789,-0.00036,0.00046,0.16560,0.00000,-0.127,-0.944,0
1.1560,0.14597,-0.00037,0.00048,0.17310,0.00000,-0.129,-1.036,0
1.2060,0.15404,-0.00037,0.00051,0.18060,0.00000,-0.130,-1.132,0
1.2560,0.16212,-0.00038,0.00053,0.18810,0.00000,-0.131,-1.232,0
1.3060,0.17018,-0.00038,0.00055,0.19560,0.00000,-0.131,-1.337,0
1.3560,0.17824,-0.00038,0.00058,0.20310,0.00000,-0.131,-1.445,0
1.4060,0.18629,-0.00038,0.00060,0.21060,0.00000,-0.130,-1.557,0
1.4560,0.19433,-0.00038,0.00061,0.21810,0.00000,-0.129,-1.674,0
1.5060,0.20236,-0.00038,0.00063,0.22560,0.00000,-0.128,-1.794,0
1.5560,0.21038,-0.00038,0.00065,0.23310,0.00000,-0.127,-1.918,0
1.6060,0.21839,-0.00038,0.00067,0.24060,0.00000,-0.125,-2.047,0
1.6560,0.22639,-0.00037,0.00068,0.24810,0.00000,-0.123,-2.179,0
1.7060,0.23438,-0.00037,0.00069,0.25560,0.00000,-0.121,-2.314,0
1.7560,0.24236,-0.00036,0.00071,0.26310,0.00000,-0.119,-2.454,0
1.8060,0.25033,-0.00036,0.00072,0.27060,0.00000,-0.117,-2.597,0
1.8560,0.25829,-0.00035,0.00073,0.27810,0.00000,-0.114,-2.744,0
1.9060,0.26624,-0.00035,0.00074,0.28560,0.00000,-0.112,-2.894,0
1.9560,0.27420,-0.00034,0.00074,0.29310,0.00000,-0.109,-3.048,0
2.0080,0.28247,-0.00033,0.00075,0.30090,0.00000,-0.106,-3.212,0
2.0600,0.29073,-0.00033,0.00076,0.30870,0.00000,-0.103,-3.379,0
2.1120,0.29897,-0.00032,0.00076,0.31650,0.00000,-0.101,-3.550,0
2.1640,0.30720,-0.00031,0.00076,0.32430,0.00000,-0.098,-3.724,0
2.2160,0.31543,-0.00030,0.00076,0.33210,0.00000,-0.094,-3.901,0
2.2680,0.32362,-0.00030,0.00077,0.33990,0.00000,-0.091,-4.082,0
2.3200,0.33181,-0.00029,0.00077,0.34770,0.00000,-0.088,-4.266,0
2.3720,0.33998,-0.00029,0.00077,0.35550,0.00000,-0.085,-4.453,0
2.4240,0.34815,-0.00028,0.00077,0.36330,0.00000,-0.082,-4.643,0
2.4760,0.35631,-0.00027,0.00077,0.37110,0.00000,-0.080,-4.836,0
2.5280,0.36447,-0.00027,0.00076,0.37890,0.00000,-0.077,-5.032,0
2.5800,0.37262,-0.00026,0.00076,0.38670,0.00000,-0.074,-5.231,0
2.6320,0.38075,-0.00026,0.00075,0.39450,0.00000,-0.071,-5.433,0
2.6840,0.38887,-0.00025,0.00075,0.40230,0.00000,-0.068,-5.637,0
2.7360,0.39698,-0.00025,0.00075,0.41010,0.00000,-0.066,-5.844,0
2.7880,0.40508,-0.00024,0.00074,0.41790,0.00000,-0.063,-6.053,0
2.8400,0.41316,-0.00024,0.00073,0.42570,0.00000,-0.061,-6.264,0
